SYMBOL,INTERVAL NO. 1,INTERVAL NO. 2,INTERVAL NO. 3,INTERVAL NO. 4,INTERVAL NO. 5,INTERVAL NO. 6,INTERVAL NO. 7,INTERVAL NO. 8,INTERVAL NO. 9,INTERVAL NO. 10,MAX FREQ.
GODREJAGRO,"(599.0, 612.9, 75)","(612.9, 626.8, 3)","(626.8, 640.7, 203)","(640.7, 654.6, 694)","(654.6, 668.5, 541)","(668.5, 682.4, 471)","(682.4, 696.3, 349)","(696.3, 710.2, 987)","(710.2, 724.1, 297)","(724.1, 738.0, 129)","(696.3, 710.2, 129)"
GODREJCP,"(1044.0, 1055.2, 49)","(1055.2, 1066.4, 146)","(1066.4, 1077.6, 461)","(1077.6, 1088.8, 1271)","(1088.8, 1100.0, 662)","(1100.0, 1111.2, 376)","(1111.2, 1122.4, 273)","(1122.4, 1133.6, 398)","(1133.6, 1144.8, 62)","(1144.8, 1156.0, 54)","(1077.6, 1088.8, 54)"
GODREJIND,"(519.0, 530.3, 151)","(530.3, 541.6, 270)","(541.6, 552.9, 1241)","(552.9, 564.2, 439)","(564.2, 575.5, 142)","(575.5, 586.8, 374)","(586.8, 598.1, 617)","(598.1, 609.4, 371)","(609.4, 620.7, 97)","(620.7, 632.0, 49)","(541.6, 552.9, 49)"
GODREJPROP,"(715.0, 735.3, 1236)","(735.3, 755.6, 574)","(755.6, 775.9, 408)","(775.9, 796.2, 507)","(796.2, 816.5, 520)","(816.5, 836.8, 128)","(836.8, 857.1, 123)","(857.1, 877.4, 131)","(877.4, 897.7, 99)","(897.7, 918.0, 15)","(715.0, 735.3, 15)"
GOENKA,"(0.0, 0.1, 0)","(0.1, 0.2, 0)","(0.2, 0.3, 0)","(0.3, 0.4, 0)","(0.4, 0.5, 125)","(0.5, 0.6, 605)","(0.6, 0.7, 543)","(0.7, 0.8, 45)","(0.8, 0.9, 0)","(0.9, 1.0, 0)","(0.5, 0.6, 0)"
GOKEX,"(82.0, 84.7, 114)","(84.7, 87.4, 167)","(87.4, 90.1, 1069)","(90.1, 92.8, 547)","(92.8, 95.5, 605)","(95.5, 98.2, 213)","(98.2, 100.9, 233)","(100.9, 103.6, 263)","(103.6, 106.3, 205)","(106.3, 109.0, 33)","(87.4, 90.1, 33)"
GOKUL,"(12.0, 12.5, 2)","(12.5, 13.0, 53)","(13.0, 13.5, 66)","(13.5, 14.0, 114)","(14.0, 14.5, 259)","(14.5, 15.0, 147)","(15.0, 15.5, 146)","(15.5, 16.0, 115)","(16.0, 16.5, 99)","(16.5, 17.0, 3)","(14.0, 14.5, 3)"
GOKULAGRO,"(17.0, 17.9, 0)","(17.9, 18.8, 80)","(18.8, 19.7, 141)","(19.7, 20.6, 189)","(20.6, 21.5, 245)","(21.5, 22.4, 383)","(22.4, 23.3, 400)","(23.3, 24.2, 245)","(24.2, 25.1, 135)","(25.1, 26.0, 8)","(22.4, 23.3, 8)"
GOLDENTOBC,"(54.0, 55.5, 6)","(55.5, 57.0, 0)","(57.0, 58.5, 5)","(58.5, 60.0, 1)","(60.0, 61.5, 12)","(61.5, 63.0, 20)","(63.0, 64.5, 34)","(64.5, 66.0, 17)","(66.0, 67.5, 4)","(67.5, 69.0, 1)","(63.0, 64.5, 1)"
GOLDIAM,"(59.0, 62.6, 222)","(62.6, 66.2, 166)","(66.2, 69.8, 747)","(69.8, 73.4, 578)","(73.4, 77.0, 304)","(77.0, 80.6, 252)","(80.6, 84.2, 87)","(84.2, 87.8, 88)","(87.8, 91.4, 98)","(91.4, 95.0, 23)","(66.2, 69.8, 23)"
GOLDINFRA,"(147.0, 154.8, 56)","(154.8, 162.6, 80)","(162.6, 170.4, 285)","(170.4, 178.2, 710)","(178.2, 186.0, 980)","(186.0, 193.8, 303)","(193.8, 201.6, 639)","(201.6, 209.4, 61)","(209.4, 217.2, 104)","(217.2, 225.0, 172)","(178.2, 186.0, 172)"
GOLDTECH,"(10.0, 10.6, 0)","(10.6, 11.2, 17)","(11.2, 11.8, 56)","(11.8, 12.4, 92)","(12.4, 13.0, 134)","(13.0, 13.6, 239)","(13.6, 14.2, 178)","(14.2, 14.8, 55)","(14.8, 15.4, 27)","(15.4, 16.0, 4)","(13.0, 13.6, 4)"
GOODLUCK,"(80.0, 82.2, 70)","(82.2, 84.4, 139)","(84.4, 86.6, 205)","(86.6, 88.8, 401)","(88.8, 91.0, 494)","(91.0, 93.2, 359)","(93.2, 95.4, 52)","(95.4, 97.6, 31)","(97.6, 99.8, 67)","(99.8, 102.0, 40)","(88.8, 91.0, 40)"
