SYMBOL,INTERVAL NO. 1,INTERVAL NO. 2,INTERVAL NO. 3,INTERVAL NO. 4,INTERVAL NO. 5,INTERVAL NO. 6,INTERVAL NO. 7,INTERVAL NO. 8,INTERVAL NO. 9,INTERVAL NO. 10,MAX FREQ.
SYNGENE,"(539.0, 555.1, 189)","(555.1, 571.2, 426)","(571.2, 587.3, 422)","(587.3, 603.4, 648)","(603.4, 619.5, 555)","(619.5, 635.6, 630)","(635.6, 651.7, 501)","(651.7, 667.8, 201)","(667.8, 683.9, 55)","(683.9, 700.0, 22)","(587.3, 603.4, 648)"
TIFIN,"(645.0, 655.1, 215)","(655.1, 665.2, 721)","(665.2, 675.3, 579)","(675.3, 685.4, 363)","(685.4, 695.5, 171)","(695.5, 705.6, 379)","(705.6, 715.7, 359)","(715.7, 725.8, 150)","(725.8, 735.9, 94)","(735.9, 746.0, 2)","(655.1, 665.2, 721)"
TTKPRESTIG,"(5984.0, 6078.9, 143)","(6078.9, 6173.8, 280)","(6173.8, 6268.7, 594)","(6268.7, 6363.6, 754)","(6363.6, 6458.5, 430)","(6458.5, 6553.4, 560)","(6553.4, 6648.3, 260)","(6648.3, 6743.2, 208)","(6743.2, 6838.1, 89)","(6838.1, 6933.0, 60)","(6268.7, 6363.6, 754)"
TVTODAY,"(431.0, 443.7, 176)","(443.7, 456.4, 958)","(456.4, 469.1, 407)","(469.1, 481.8, 800)","(481.8, 494.5, 340)","(494.5, 507.2, 534)","(507.2, 519.9, 200)","(519.9, 532.6, 158)","(532.6, 545.3, 55)","(545.3, 558.0, 35)","(443.7, 456.4, 958)"
TV18BRDCST,"(55.0, 56.6, 45)","(56.6, 58.2, 164)","(58.2, 59.8, 87)","(59.8, 61.4, 368)","(61.4, 63.0, 407)","(63.0, 64.6, 619)","(64.6, 66.2, 430)","(66.2, 67.8, 574)","(67.8, 69.4, 837)","(69.4, 71.0, 181)","(67.8, 69.4, 837)"
TVSMOTOR,"(591.0, 600.9, 71)","(600.9, 610.8, 147)","(610.8, 620.7, 423)","(620.7, 630.6, 691)","(630.6, 640.5, 454)","(640.5, 650.4, 797)","(650.4, 660.3, 346)","(660.3, 670.2, 443)","(670.2, 680.1, 278)","(680.1, 690.0, 64)","(640.5, 650.4, 797)"
TVSSRICHAK,"(3036.0, 3107.5, 70)","(3107.5, 3179.0, 42)","(3179.0, 3250.5, 424)","(3250.5, 3322.0, 275)","(3322.0, 3393.5, 220)","(3393.5, 3465.0, 444)","(3465.0, 3536.5, 256)","(3536.5, 3608.0, 495)","(3608.0, 3679.5, 730)","(3679.5, 3751.0, 143)","(3608.0, 3679.5, 730)"
TAKE,"(151.0, 159.3, 245)","(159.3, 167.6, 739)","(167.6, 175.9, 635)","(175.9, 184.2, 13)","(184.2, 192.5, 364)","(192.5, 200.8, 213)","(200.8, 209.1, 196)","(209.1, 217.4, 415)","(217.4, 225.7, 719)","(225.7, 234.0, 115)","(159.3, 167.6, 739)"
TNPL,"(305.0, 312.7, 19)","(312.7, 320.4, 67)","(320.4, 328.1, 40)","(328.1, 335.8, 179)","(335.8, 343.5, 308)","(343.5, 351.2, 1027)","(351.2, 358.9, 744)","(358.9, 366.6, 690)","(366.6, 374.3, 244)","(374.3, 382.0, 108)","(343.5, 351.2, 1027)"
TATACHEM,"(656.0, 669.2, 248)","(669.2, 682.4, 432)","(682.4, 695.6, 652)","(695.6, 708.8, 22)","(708.8, 722.0, 555)","(722.0, 735.2, 627)","(735.2, 748.4, 353)","(748.4, 761.6, 88)","(761.6, 774.8, 538)","(774.8, 788.0, 196)","(682.4, 695.6, 652)"
